experiment,frequency,shell,threads,utility,op1,op2,sysfs-powercap-rapl,perf-ipc,perf-freq,ipc-estimate,metricq
3,0,0,72,1,0,0,278.369180,2.105867,0.792395,0.000000,969.220000
9,0,0,72,1,0,0,278.824337,2.052277,0.792336,0.000000,970.180000
11,0,0,72,1,0,0,271.054163,0.064456,0.792264,0.000000,960.020000
6,0,0,72,1,0,0,372.851648,3.663974,0.792236,0.000000,1077.400000
4,0,0,80,1,0,0,290.575333,2.114848,0.791422,0.000000,982.940000
5,0,0,80,1,0,0,309.155969,3.840672,0.792379,0.000000,1003.600000
8,0,0,80,1,0,0,333.567389,2.943250,0.793101,0.000000,1031.160000
14,0,0,80,1,0,0,340.231332,3.676549,0.793242,0.000000,1040.140000
13,0,0,80,1,0,0,357.105422,3.146160,0.793213,0.000000,1059.360000
3,0,0,80,1,0,0,278.630131,2.105919,0.792302,0.000000,969.960000
9,0,0,80,1,0,0,279.809819,2.052372,0.792161,0.000000,971.520000
11,0,0,80,1,0,0,270.850984,0.064456,0.792266,0.000000,960.360000
6,0,0,80,1,0,0,385.803965,3.664887,0.792348,0.000000,1090.660000
4,0,0,88,1,0,0,294.272731,2.114648,0.791255,0.000000,985.480000
5,0,0,88,1,0,0,311.997499,3.841206,0.792276,0.000000,1008.000000
8,0,0,88,1,0,0,339.149300,2.943248,0.793083,0.000000,1037.820000
14,0,0,88,1,0,0,346.256532,3.676430,0.793192,0.000000,1047.900000
13,0,0,88,1,0,0,365.847556,3.144047,0.793171,0.000000,1068.280000
3,0,0,88,1,0,0,281.989118,2.105925,0.792168,0.000000,971.360000
9,0,0,88,1,0,0,282.521288,2.052387,0.792079,0.000000,972.620000
11,0,0,88,1,0,0,270.975609,0.064455,0.792055,0.000000,960.220000
6,0,0,88,1,0,0,395.673613,3.664973,0.792395,0.000000,1102.620000
4,0,0,96,1,0,0,294.193284,2.114796,0.790980,0.000000,987.120000
5,0,0,96,1,0,0,314.109857,3.840781,0.792191,0.000000,1012.100000
8,0,0,96,1,0,0,343.655642,2.943195,0.793062,0.000000,1044.060000
14,0,0,96,1,0,0,351.564011,3.675261,0.793224,0.000000,1055.020000
13,0,0,96,1,0,0,374.195334,3.141878,0.793103,0.000000,1076.380000
3,0,0,96,1,0,0,282.462354,2.105945,0.792035,0.000000,972.040000
9,0,0,96,1,0,0,282.795411,2.052388,0.791987,0.000000,973.800000
11,0,0,96,1,0,0,270.900830,0.064455,0.792030,0.000000,960.220000
6,0,0,96,1,0,0,406.231176,3.664498,0.792467,0.000000,1114.800000
4,0,0,104,1,0,0,298.034373,2.114952,0.790868,0.000000,989.800000
5,0,0,104,1,0,0,317.921138,3.840674,0.792090,0.000000,1016.400000
8,0,0,104,1,0,0,349.384312,2.943096,0.792973,0.000000,1050.700000
14,0,0,104,1,0,0,361.455688,3.674672,0.793146,0.000000,1062.640000
13,0,0,104,1,0,0,384.611548,3.144985,0.793307,0.000000,1087.980000
3,0,0,104,1,0,0,282.138056,2.105916,0.791963,0.000000,972.780000
9,0,0,104,1,0,0,282.570485,2.052451,0.791838,0.000000,974.420000
11,0,0,104,1,0,0,270.772415,0.064455,0.791900,0.000000,959.700000
6,0,0,104,1,0,0,416.802801,3.663110,0.792391,0.000000,1126.740000
4,0,0,112,1,0,0,298.270400,2.114898,0.790607,0.000000,991.480000
5,0,0,112,1,0,0,325.026930,3.841016,0.791955,0.000000,1020.800000
8,0,0,112,1,0,0,354.646660,2.942854,0.792792,0.000000,1057.220000
14,0,0,112,1,0,0,368.942616,3.675141,0.792986,0.000000,1069.960000
13,0,0,112,1,0,0,394.160605,3.147697,0.793309,0.000000,1099.540000
3,0,0,112,1,0,0,282.439652,2.105835,0.791845,0.000000,973.560000
9,0,0,112,1,0,0,283.162634,2.052396,0.791793,0.000000,975.680000
11,0,0,112,1,0,0,270.631342,0.064455,0.791787,0.000000,960.200000
6,0,0,112,1,0,0,426.895802,3.658940,0.791890,0.000000,1138.880000
4,0,1,8,1254671697,0,0,475.250851,2.125167,1.987797,0.000000,1189.285714
5,0,1,8,309464,0,0,507.023371,3.876822,1.988894,0.000000,1234.360000
8,0,1,8,1854,0,0,524.060951,2.942149,1.984805,0.000000,1253.360000
14,0,1,8,1275,0,0,527.281749,3.726624,1.985834,0.000000,1256.880000
13,0,1,8,1920,0,0,530.667577,3.045703,1.984451,0.000000,1260.300000
3,0,1,8,55620,0,0,499.215044,2.107566,1.988733,0.000000,1224.000000
9,0,1,8,54229,0,0,499.244636,2.055359,1.988907,0.000000,1224.300000
11,0,1,8,12465,0,0,495.619139,0.064475,1.989045,0.000000,1220.340000
6,0,1,8,206605782,0,0,543.415831,3.707993,1.985282,0.000000,1275.740000
4,0,1,16,1281386979,0,0,508.729396,2.125912,1.990405,0.000000,1235.620000
5,0,1,16,308319,0,0,521.896767,3.876324,1.990446,0.000000,1249.920000
8,0,1,16,1845,0,0,542.779688,2.943205,1.987210,0.000000,1276.020000
14,0,1,16,1267,0,0,551.609679,3.724739,1.988462,0.000000,1282.620000
13,0,1,16,1892,0,0,555.741644,3.021377,1.986892,0.000000,1288.500000
3,0,1,16,55422,0,0,501.874740,2.107580,1.990294,0.000000,1227.520000
9,0,1,16,54072,0,0,503.444717,2.055438,1.990336,0.000000,1227.860000
11,0,1,16,12422,0,0,496.137367,0.064472,1.990446,0.000000,1220.540000
6,0,1,16,204946451,0,0,582.984627,3.702609,1.987280,0.000000,1321.140000
4,0,1,24,1276819946,0,0,515.593375,2.125557,1.990640,0.000000,1243.940000
5,0,1,24,307409,0,0,533.955897,3.875463,1.990700,0.000000,1264.580000
8,0,1,24,1837,0,0,564.149069,2.943203,1.987642,0.000000,1298.300000
14,0,1,24,1261,0,0,571.532888,3.720576,1.988720,0.000000,1307.840000
13,0,1,24,1858,0,0,577.525246,2.980542,1.987162,0.000000,1313.580000
3,0,1,24,55256,0,0,504.503578,2.107462,1.990553,0.000000,1230.240000
9,0,1,24,53880,0,0,504.983595,2.055509,1.990677,0.000000,1231.160000
11,0,1,24,12384,0,0,496.574810,0.064471,1.990685,0.000000,1220.340000
6,0,1,24,203262986,0,0,617.748177,3.697806,1.987548,0.000000,1364.180000
4,0,1,32,1272964961,0,0,525.006198,2.125592,1.990400,0.000000,1254.600000
5,0,1,32,306367,0,0,546.613415,3.876332,1.990605,0.000000,1281.040000
8,0,1,32,1828,0,0,583.328361,2.942931,1.987098,0.000000,1321.840000
14,0,1,32,1256,0,0,594.215614,3.719844,1.988229,0.000000,1333.660000
13,0,1,32,1805,0,0,599.792983,2.921666,1.985721,0.000000,1339.560000
3,0,1,32,55062,0,0,508.885108,2.107515,1.990747,0.000000,1234.840000
9,0,1,32,53727,0,0,508.825942,2.055496,1.990807,0.000000,1235.440000
11,0,1,32,12341,0,0,497.465713,0.064471,1.990827,0.000000,1221.040000
6,0,1,32,201127048,0,0,643.747883,3.691470,1.986919,0.000000,1394.140000
4,0,1,40,1268262281,0,0,533.583860,2.125342,1.990312,0.000000,1262.500000
5,0,1,40,305489,0,0,564.912826,3.875361,1.990183,0.000000,1301.300000
8,0,1,40,1819,0,0,601.111350,2.942814,1.987126,0.000000,1342.920000
14,0,1,40,1249,0,0,613.648614,3.719103,1.987978,0.000000,1357.700000
13,0,1,40,1749,0,0,617.126743,2.841001,1.984911,0.000000,1361.160000
3,0,1,40,54898,0,0,513.713811,2.107577,1.990622,0.000000,1240.320000
9,0,1,40,53542,0,0,513.420913,2.055547,1.990825,0.000000,1240.080000
11,0,1,40,12305,0,0,498.909959,0.064470,1.990786,0.000000,1222.240000
6,0,1,40,198162725,0,0,649.338799,3.684005,1.984803,0.000000,1400.300000
4,0,1,48,1265141244,0,0,542.728201,2.124959,1.990299,0.000000,1274.580000
5,0,1,48,304492,0,0,579.232360,3.875877,1.990201,0.000000,1318.640000
8,0,1,48,1810,0,0,619.960751,2.942510,1.986590,0.000000,1363.620000
14,0,1,48,1236,0,0,635.367395,3.718476,1.987563,0.000000,1381.720000
13,0,1,48,1661,0,0,634.203186,2.718504,1.985255,0.000000,1378.960000
3,0,1,48,54711,0,0,518.263359,2.107595,1.990670,0.000000,1245.420000
9,0,1,48,53397,0,0,518.435709,2.055609,1.990904,0.000000,1244.500000
11,0,1,48,12267,0,0,502.164145,0.064470,1.990979,0.000000,1225.700000
6,0,1,48,193110885,0,0,655.698410,3.672765,1.967109,0.000000,1404.080000
4,0,1,56,1260054077,0,0,551.149103,2.124995,1.990288,0.000000,1285.280000
5,0,1,56,303643,0,0,591.858922,3.875100,1.990189,0.000000,1335.180000
8,0,1,56,1792,0,0,638.708641,2.941985,1.986293,0.000000,1385.940000
14,0,1,56,1224,0,0,655.181658,3.716739,1.987231,0.000000,1406.760000
13,0,1,56,1527,0,0,646.317091,2.541086,1.984848,0.000000,1391.260000
3,0,1,56,54568,0,0,525.003166,2.107603,1.990886,0.000000,1252.720000
9,0,1,56,53222,0,0,526.409657,2.055613,1.990966,0.000000,1252.780000
11,0,1,56,12229,0,0,500.723852,0.064470,1.990967,0.000000,1223.080000
6,0,1,56,176282722,0,0,658.587694,3.659221,1.822587,0.000000,1405.980000
4,0,1,64,1252475696,0,0,551.190707,2.123485,1.990202,0.000000,1283.180000
5,0,1,64,301845,0,0,595.537180,3.875887,1.990565,0.000000,1338.700000
8,0,1,64,1784,0,0,662.509571,2.942074,1.987605,0.000000,1410.620000
14,0,1,64,1217,0,0,682.014853,3.716409,1.988376,0.000000,1434.700000
13,0,1,64,1518,0,0,675.056182,2.603783,1.986545,0.000000,1422.820000
3,0,1,64,53866,0,0,443.911374,2.107496,1.990231,0.000000,1158.080000
9,0,1,64,52908,0,0,513.548331,2.055509,1.991351,0.000000,1235.580000
11,0,1,64,12122,0,0,451.874788,0.064470,1.991009,0.000000,1164.920000
6,0,1,64,174592359,0,0,699.776049,3.665304,1.841917,0.000000,1450.720000
4,0,1,72,1244723213,0,0,556.394297,2.123460,1.989935,0.000000,1289.760000
5,0,1,72,299955,0,0,611.246915,3.874496,1.990395,0.000000,1352.820000
8,0,1,72,1771,0,0,680.462903,2.942213,1.987414,0.000000,1432.220000
14,0,1,72,1207,0,0,702.407794,3.716046,1.988596,0.000000,1459.960000
13,0,1,72,1506,0,0,700.723317,2.645455,1.986588,0.000000,1450.160000
3,0,1,72,53550,0,0,469.334784,2.107492,1.990198,0.000000,1186.860000
9,0,1,72,51920,0,0,422.004649,2.055531,1.989492,0.000000,1127.160000
11,0,1,72,11901,0,0,382.890732,0.064470,1.989270,0.000000,1083.640000
6,0,1,72,173065314,0,0,739.965979,3.668914,1.858941,0.000000,1495.440000
4,0,1,80,1237372067,0,0,565.017701,2.123319,1.989822,0.000000,1298.940000
5,0,1,80,298070,0,0,624.197462,3.876245,1.990346,0.000000,1368.400000
8,0,1,80,1760,0,0,701.713078,2.942376,1.987691,0.000000,1454.820000
14,0,1,80,1197,0,0,728.641600,3.715840,1.988648,0.000000,1484.800000
13,0,1,80,1493,0,0,724.558656,2.668736,1.986572,0.000000,1475.920000
3,0,1,80,53275,0,0,481.703046,2.107492,1.990525,0.000000,1202.620000
